po_id,date,vendor,category,description,qty,unit_price,line_total
1001,2026-01-05,Digi-Key,Electronics,STM32 dev board,5,38.00,190.00
1002,2026-01-06,McMaster-Carr,Fasteners,M3 socket screws 100pk,4,12.50,50.00
1003,2026-01-08,Mouser,Electronics,Op-amp ICs,50,2.20,110.00
1004,2026-01-09,Protolabs,Machined Parts,Aluminum bracket CNC,10,145.00,1450.00
1005,2026-01-12,JLCPCB,PCB Fab,4-layer PCB 50pc,1,320.00,320.00
1006,2026-01-13,Grainger,Raw Materials,6061 Al plate 12x12,6,78.00,468.00
1007,2026-01-15,DigiKey,Electronics,JST connectors,200,0.85,170.00
1008,2026-01-16,Misumi,Machined Parts,Linear shaft 12mm,8,33.00,264.00
1009,2026-01-19,McMaster,Fasteners,Dowel pins 50pk,3,18.00,54.00
1010,2026-01-20,Newark,Test Equipment,Bench multimeter,2,410.00,820.00
1011,2026-01-22,Mouser,Electronics,Voltage regulators,100,1.15,115.00
1012,2026-01-23,Protolabs,Machined Parts,Steel housing CNC,5,380.00,1900.00
1013,2026-01-26,Grainger,Raw Materials,Delrin rod 1in,10,22.00,220.00
1014,2026-01-27,JLCPCB,PCB Fab,2-layer PCB 100pc,2,95.00,190.00
1015,2026-01-29,Digi-Key Corp,Electronics,Microcontrollers,30,6.40,192.00
1016,2026-02-02,McMaster-Carr,Fasteners,Hex nuts 200pk,5,9.00,45.00
1017,2026-02-03,Misumi,Machined Parts,Bearing blocks,12,47.00,564.00
1018,2026-02-05,Newark,Cables,Shielded cable 50ft,8,31.00,248.00
1019,2026-02-06,Mouser,Electronics,Crystal oscillators,80,1.95,156.00
1020,2026-02-09,Protolabs,Machined Parts,Mounting plate CNC,6,210.00,1260.00
1021,2026-02-10,Grainger,,Misc shop supplies,1,340.00,340.00
1022,2026-02-12,Digi-Key,Electronics,IMU sensors,20,14.50,290.00
1023,2026-02-13,JLCPCB,PCB Fab,Flex PCB 25pc,1,480.00,480.00
1024,2026-02-16,McMaster-Carr,Fasteners,Threaded rod,15,8.50,127.50
1025,2026-02-17,Newark,Test Equipment,Oscilloscope probe set,3,175.00,525.00
1026,2026-02-19,Misumi,Machined Parts,Aluminum extrusion 1m,20,28.00,560.00
1027,2026-02-20,Mouser,Electronics,Power MOSFETs,150,0.95,142.50
1028,2026-02-23,Grainger,Raw Materials,Copper sheet,4,95.00,380.00
1029,2026-02-24,Protolabs,Machined Parts,Custom gear CNC,8,165.00,1320.00
1030,2026-02-26,Local Machine Shop,Machined Parts,Custom weldment,2,1200.00,2400.00
1031,2026-03-02,Digi-Key,Electronics,RF connectors,10,4500.00,45000.00
1032,2026-03-03,McMaster-Carr,Fasteners,Spring washers 500pk,2,28.00,56.00
1033,2026-03-05,JLCPCB,PCB Fab,6-layer PCB 20pc,1,540.00,540.00
1034,2026-03-06,Newark,Cables,USB-C cables,50,4.20,210.00
1035,2026-03-09,Misumi,Machined Parts,Shoulder bolts,40,6.50,260.00
1036,2026-03-10,Mouser,Electronics,Logic gates,200,0.45,90.00
1037,2026-03-12,Grainger,,Cleaning supplies,1,125.00,125.00
1038,2026-03-13,Protolabs,Machined Parts,Enclosure CNC,4,290.00,1160.00
1039,2026-03-16,Newark,Test Equipment,Function generator,1,680.00,680.00
1040,2026-03-17,Digi-Key,Electronics,Capacitor kit,15,22.00,330.00
1041,2026-03-19,McMaster-Carr,Fasteners,Standoffs 100pk,6,15.00,90.00
1042,2026-03-20,Misumi,Machined Parts,Guide rails,10,72.00,720.00
1042,2026-03-20,Misumi,Machined Parts,Guide rails,10,72.00,720.00
1043,2026-03-23,Mouser,Electronics,Diodes 1000pk,3,48.00,144.00
1044,2026-03-24,JLCPCB,PCB Fab,PCB assembly service,1,750.00,750.00
1045,2026-03-26,Grainger,Raw Materials,Stainless rod,8,41.00,328.00
1046,2026-03-27,Newark,Cables,Ribbon cable 100ft,5,38.00,190.00
1047,2026-03-30,McMaster-Carr,Fasteners,Rivets 500pk,2,33.00,70.00
1048,2026-03-31,Protolabs,Machined Parts,Bracket set CNC,12,88.00,1050.00
1049,2026-04-01,Digi-Key,Electronics,Display modules,6,45.00,270.00
